,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,title,artist
121,0.644,0.985,4,-7.059,1,0.0506,0.174,0.019,0.0831,0.483,145.02,audio_features,0rLLvdWX1z3UPqYa73Hhyg,spotify:track:0rLLvdWX1z3UPqYa73Hhyg,https://api.spotify.com/v1/tracks/0rLLvdWX1z3UPqYa73Hhyg,https://api.spotify.com/v1/audio-analysis/0rLLvdWX1z3UPqYa73Hhyg,184067,4,ALL I EVER WANTED,FREDO FT DAVE
122,0.903,0.839,11,-9.447,0,0.208,0.0939,0,0.102,0.727,133.986,audio_features,7b4ky1LlQLFhXHmhZkFgqV,spotify:track:7b4ky1LlQLFhXHmhZkFgqV,https://api.spotify.com/v1/tracks/7b4ky1LlQLFhXHmhZkFgqV,https://api.spotify.com/v1/audio-analysis/7b4ky1LlQLFhXHmhZkFgqV,190537,4,LADBROKE GROVE,AJ TRACEY
123,0.477,0.791,8,-3.331,1,0.12,0.0709,0,0.112,0.603,175.869,audio_features,5ecQ5IpXRvNgnsAuw40dOq,spotify:track:5ecQ5IpXRvNgnsAuw40dOq,https://api.spotify.com/v1/tracks/5ecQ5IpXRvNgnsAuw40dOq,https://api.spotify.com/v1/audio-analysis/5ecQ5IpXRvNgnsAuw40dOq,235147,4,THINK ABOUT US,LITTLE MIX FT TY DOLLA SIGN
124,0.597,0.767,1,-4.713,0,0.0481,0.106,0,0.107,0.205,148.009,audio_features,15LOSQ3z91ZB2wMiMhiCjZ,spotify:track:15LOSQ3z91ZB2wMiMhiCjZ,https://api.spotify.com/v1/tracks/15LOSQ3z91ZB2wMiMhiCjZ,https://api.spotify.com/v1/audio-analysis/15LOSQ3z91ZB2wMiMhiCjZ,189813,4,DESIRE,SUB FOCUS & DIMENSION
125,0.809,0.545,7,-6.678,1,0.0735,0.392,0,0.151,0.244,97.008,audio_features,3QzAOrNlsabgbMwlZt7TAY,spotify:track:3QzAOrNlsabgbMwlZt7TAY,https://api.spotify.com/v1/tracks/3QzAOrNlsabgbMwlZt7TAY,https://api.spotify.com/v1/audio-analysis/3QzAOrNlsabgbMwlZt7TAY,180435,4,BALLY,SWARMZ FT TION WAYNE
126,0.429,0.399,5,-11.679,0,0.0893,0.632,3.23E-05,0.087,0.353,72.487,audio_features,3f3cliOygeuUpGRwdohy12,spotify:track:3f3cliOygeuUpGRwdohy12,https://api.spotify.com/v1/tracks/3f3cliOygeuUpGRwdohy12,https://api.spotify.com/v1/audio-analysis/3f3cliOygeuUpGRwdohy12,255066,4,COMFORTABLE,YUNGEN FT DAPPY
127,0.631,0.953,2,-3.739,1,0.0343,0.0241,0.0155,0.108,0.422,141.99,audio_features,3MEYFivt6bilQ9q9mFWZ4g,spotify:track:3MEYFivt6bilQ9q9mFWZ4g,https://api.spotify.com/v1/tracks/3MEYFivt6bilQ9q9mFWZ4g,https://api.spotify.com/v1/audio-analysis/3MEYFivt6bilQ9q9mFWZ4g,273803,4,ALONE,MARSHMELLO
128,0.745,0.693,2,-5.479,0,0.034,0.339,0,0.123,0.248,98.039,audio_features,2XWjPtKdi5sucFYtVav07d,spotify:track:2XWjPtKdi5sucFYtVav07d,https://api.spotify.com/v1/tracks/2XWjPtKdi5sucFYtVav07d,https://api.spotify.com/v1/audio-analysis/2XWjPtKdi5sucFYtVav07d,181900,4,365,ZEDD FT KATY PERRY
129,0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,audio_features,2qxmye6gAegTMjLKEBoR3d,spotify:track:2qxmye6gAegTMjLKEBoR3d,https://api.spotify.com/v1/tracks/2qxmye6gAegTMjLKEBoR3d,https://api.spotify.com/v1/audio-analysis/2qxmye6gAegTMjLKEBoR3d,169354,4,LET ME DOWN SLOWLY,ALEC BENJAMIN
130,0.767,0.889,7,-2.988,1,0.0963,0.00611,0,0.402,0.843,119.93,audio_features,0k664IuFwVP557Gnx7RhIl,spotify:track:0k664IuFwVP557Gnx7RhIl,https://api.spotify.com/v1/tracks/0k664IuFwVP557Gnx7RhIl,https://api.spotify.com/v1/audio-analysis/0k664IuFwVP557Gnx7RhIl,195145,4,JUICE,LIZZO
131,0.511,0.542,2,-7.398,1,0.336,0.387,0,0.181,0.439,134.907,audio_features,3j8FPquKEOygdUMLLs1Pxr,spotify:track:3j8FPquKEOygdUMLLs1Pxr,https://api.spotify.com/v1/tracks/3j8FPquKEOygdUMLLs1Pxr,https://api.spotify.com/v1/audio-analysis/3j8FPquKEOygdUMLLs1Pxr,189733,4,CANDLELIGHT,JACK SAVORETTI
132,0.685,0.692,2,-5.122,1,0.0457,0.328,0,0.153,0.578,159.966,audio_features,6Hj9jySrnFppAI0sEMCZpJ,spotify:track:6Hj9jySrnFppAI0sEMCZpJ,https://api.spotify.com/v1/tracks/6Hj9jySrnFppAI0sEMCZpJ,https://api.spotify.com/v1/audio-analysis/6Hj9jySrnFppAI0sEMCZpJ,240051,5,ROBBERY,JUICE WRLD
133,0.652,0.453,1,-6.119,1,0.0445,0.0519,0,0.179,0.432,88.038,audio_features,7DHApOHsIFo7EyfieArYGE,spotify:track:7DHApOHsIFo7EyfieArYGE,https://api.spotify.com/v1/tracks/7DHApOHsIFo7EyfieArYGE,https://api.spotify.com/v1/audio-analysis/7DHApOHsIFo7EyfieArYGE,177391,3,WALK ME HOME,PINK
134,0.736,0.308,4,-7.83,1,0.0677,0.946,0,0.186,0.361,111.202,audio_features,4Of7rzpRpV1mWRbhp5rAqG,spotify:track:4Of7rzpRpV1mWRbhp5rAqG,https://api.spotify.com/v1/tracks/4Of7rzpRpV1mWRbhp5rAqG,https://api.spotify.com/v1/audio-analysis/4Of7rzpRpV1mWRbhp5rAqG,220492,4,BRUISES,LEWIS CAPALDI
135,0.461,0.102,7,-13.05,1,0.0897,0.967,2.10E-06,0.164,0.259,71.835,audio_features,0fB77VOZ2FkQeKLv1DuEwp,spotify:track:0fB77VOZ2FkQeKLv1DuEwp,https://api.spotify.com/v1/tracks/0fB77VOZ2FkQeKLv1DuEwp,https://api.spotify.com/v1/audio-analysis/0fB77VOZ2FkQeKLv1DuEwp,324499,4,HOPE IS A DANGEROUS THING FOR A WOMAN,LANA DEL REY
136,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,audio_features,22vgEDb5hykfaTwLuskFGD,spotify:track:22vgEDb5hykfaTwLuskFGD,https://api.spotify.com/v1/tracks/22vgEDb5hykfaTwLuskFGD,https://api.spotify.com/v1/audio-analysis/22vgEDb5hykfaTwLuskFGD,181027,4,SUCKER,JONAS BROTHERS
137,0.759,0.73,0,-7.985,0,0.0516,0.145,3.06E-06,0.11,0.74,115.007,audio_features,7eBqSVxrzQZtK2mmgRG6lC,spotify:track:7eBqSVxrzQZtK2mmgRG6lC,https://api.spotify.com/v1/tracks/7eBqSVxrzQZtK2mmgRG6lC,https://api.spotify.com/v1/audio-analysis/7eBqSVxrzQZtK2mmgRG6lC,268434,4,MURDER ON MY MIND,YNW MELLY
138,0.8,0.523,1,-6.578,1,0.107,0.00108,0,0.352,0.379,147.057,audio_features,06Gyf2pFDVmN5K8XAawG96,spotify:track:06Gyf2pFDVmN5K8XAawG96,https://api.spotify.com/v1/tracks/06Gyf2pFDVmN5K8XAawG96,https://api.spotify.com/v1/audio-analysis/06Gyf2pFDVmN5K8XAawG96,144142,4,NO CAP,DIGDAT & LOSKI
139,0.335,0.625,7,-7.462,1,0.0386,0.164,0,0.0708,0.346,150.277,audio_features,0bYg9bo50gSsH3LtXe2SQn,spotify:track:0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn,241107,4,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY
140,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48E-06,0.355,0.947,107.682,audio_features,2FRnf9qhLbvw8fu4IBXx78,spotify:track:2FRnf9qhLbvw8fu4IBXx78,https://api.spotify.com/v1/tracks/2FRnf9qhLbvw8fu4IBXx78,https://api.spotify.com/v1/audio-analysis/2FRnf9qhLbvw8fu4IBXx78,262960,4,LAST CHRISTMAS,WHAM
141,0.672,0.6,0,-9.318,1,0.381,0.00822,0,0.0945,0.226,147.381,audio_features,1ogmtYEsS4ywfLIhMee5bu,spotify:track:1ogmtYEsS4ywfLIhMee5bu,https://api.spotify.com/v1/tracks/1ogmtYEsS4ywfLIhMee5bu,https://api.spotify.com/v1/audio-analysis/1ogmtYEsS4ywfLIhMee5bu,277551,4,HOW IT IS,RODDY RICCH/CHIP/YXNG BANE
142,0.685,0.555,1,-9.642,0,0.233,0.16,0,0.298,0.0962,141.917,audio_features,1rHEt5WmXBsaFUT7WpvYfQ,spotify:track:1rHEt5WmXBsaFUT7WpvYfQ,https://api.spotify.com/v1/tracks/1rHEt5WmXBsaFUT7WpvYfQ,https://api.spotify.com/v1/audio-analysis/1rHEt5WmXBsaFUT7WpvYfQ,178329,4,KETTLE POURING,D-BLOCK EUROPE
143,0.682,0.559,0,-5.545,1,0.127,0.174,0,0.344,0.137,202.015,audio_features,3j84U36KvLeXNDPv4t5pI8,spotify:track:3j84U36KvLeXNDPv4t5pI8,https://api.spotify.com/v1/tracks/3j84U36KvLeXNDPv4t5pI8,https://api.spotify.com/v1/audio-analysis/3j84U36KvLeXNDPv4t5pI8,192471,4,PURE WATER,MUSTARD & MIGOS
144,0.319,0.651,2,-6.335,1,0.0342,0.501,4.73E-05,0.241,0.474,118.501,audio_features,3VTNVsTTu05dmTsVFrmGpK,spotify:track:3VTNVsTTu05dmTsVFrmGpK,https://api.spotify.com/v1/tracks/3VTNVsTTu05dmTsVFrmGpK,https://api.spotify.com/v1/audio-analysis/3VTNVsTTu05dmTsVFrmGpK,272200,4,FAIRYTALE OF NEW YORK,POGUES FT KIRSTY MACCOLL
145,0.599,0.642,0,-6.936,1,0.0363,0.164,3.33E-05,0.0992,0.349,115.412,audio_features,0247StOpd3AkeBQzANX4Zf,spotify:track:0247StOpd3AkeBQzANX4Zf,https://api.spotify.com/v1/tracks/0247StOpd3AkeBQzANX4Zf,https://api.spotify.com/v1/audio-analysis/0247StOpd3AkeBQzANX4Zf,222533,4,DO THEY KNOW IT'S CHRISTMAS,BAND AID
146,0.725,0.276,7,-12.25,1,0.0599,0.76,0,0.116,0.717,112.89,audio_features,2pXpURmn6zC5ZYDMms6fwa,spotify:track:2pXpURmn6zC5ZYDMms6fwa,https://api.spotify.com/v1/tracks/2pXpURmn6zC5ZYDMms6fwa,https://api.spotify.com/v1/audio-analysis/2pXpURmn6zC5ZYDMms6fwa,155933,4,IT'S BEGINNING TO LOOK A LOT LIKE,MICHAEL BUBLE
147,0.813,0.703,11,-5.077,0,0.268,0.125,1.26E-06,0.237,0.241,94.828,audio_features,7N1Vjtzr1lmmCW9iasQ8YO,spotify:track:7N1Vjtzr1lmmCW9iasQ8YO,https://api.spotify.com/v1/tracks/7N1Vjtzr1lmmCW9iasQ8YO,https://api.spotify.com/v1/audio-analysis/7N1Vjtzr1lmmCW9iasQ8YO,224533,4,SURVIVAL OF THE FITTEST,FREDO
148,0.621,0.706,0,-6.371,1,0.0341,0.217,0,0.109,0.521,124.076,audio_features,7fToSlGPKlugVUCAZWvydi,spotify:track:7fToSlGPKlugVUCAZWvydi,https://api.spotify.com/v1/tracks/7fToSlGPKlugVUCAZWvydi,https://api.spotify.com/v1/audio-analysis/7fToSlGPKlugVUCAZWvydi,203674,4,THROWBACK,UNKNOWN T/CRAZY COUSINZ
149,0.464,0.852,11,-3.804,1,0.067,0.0116,0,0.108,0.233,160.075,audio_features,4mGdjNMo0RonTlOEb7cYg4,spotify:track:4mGdjNMo0RonTlOEb7cYg4,https://api.spotify.com/v1/tracks/4mGdjNMo0RonTlOEb7cYg4,https://api.spotify.com/v1/audio-analysis/4mGdjNMo0RonTlOEb7cYg4,239507,4,11 MINUTES,YUNGBLUD/HALSEY/TRAVIS BARKER
150,0.641,0.794,11,-4.906,1,0.0369,0.497,0,0.329,0.767,112.994,audio_features,1kCMRwtyaXZRWhe2scYcBL,spotify:track:1kCMRwtyaXZRWhe2scYcBL,https://api.spotify.com/v1/tracks/1kCMRwtyaXZRWhe2scYcBL,https://api.spotify.com/v1/audio-analysis/1kCMRwtyaXZRWhe2scYcBL,239600,4,ONE MORE SLEEP,LEONA LEWIS
