artist,chart_position,country,production_house,title,week,weeks_on_chart
AVA MAX,1,UK,ATLANTIC,SWEET BUT PSYCHO,2,12
ARIANA GRANDE,2,UK,REPUBLIC RECORDS,THANK U NEXT,2,10
MARK RONSON FT MILEY CYRUS,3,UK,COLUMBIA,NOTHING BREAKS LIKE A HEART,2,6
POST MALONE,4,UK,REPUBLIC RECORDS,WOW.,2,3
POST MALONE FT SWAE LEE,5,UK,REPUBLIC RECORDS,SUNFLOWER,2,12
HEADIE ONE FT DAVE,6,UK,RELENTLESS,18HUNNA,2,1
JAMES ARTHUR & ANNE-MARIE,7,UK,ATLANTIC,REWRITE THE STARS,2,8
GEORGE EZRA,8,UK,COLUMBIA,HOLD MY GIRL,2,13
FREYA RIDINGS,9,UK,GOOD SOLDIER,LOST WITHOUT YOU,2,26
HALSEY,10,UK,CAPITOL,WITHOUT ME,2,14
JAX JONES/YEARS & YEARS,11,UK,POLYDOR,PLAY,2,6
ZARA LARSSON,12,UK,BLACK BUTTER/EPIC/TEN,RUIN MY LIFE,2,12
KODAK BLACK/SCOTT/OFFSET,13,UK,ATLANTIC,ZEZE,2,13
PINKFONG,14,UK,RELENTLESS,BABY SHARK,2,22
CHRIS BROWN,15,UK,RCA,UNDECIDED,2,1
GEORGE EZRA,16,UK,COLUMBIA,SHOTGUN,2,42
CLEAN BANDIT/MARINA/LUIS FONSI,17,UK,ATLANTIC,BABY,2,10
MEEK MILL FT DRAKE,18,UK,ATLANTIC,GOING BAD,2,6
JESS GLYNNE,19,UK,ATLANTIC,THURSDAY,2,13
ARIANA GRANDE,20,UK,REPUBLIC RECORDS,IMAGINE,2,4
LADY GAGA & BRADLEY COOPER,21,UK,INTERSCOPE,SHALLOW,2,15
CALVIN HARRIS & DUA LIPA,22,UK,COLUMBIA/WARNER BROS,ONE KISS,2,37
SETTLE/GREATEST SHOWMAN ENS,23,UK,ATLANTIC,THIS IS ME,2,54
PINK,24,UK,ATLANTIC,A MILLION DREAMS,2,11
NSG FT TION WAYNE,25,UK,NSG,OPTIONS,2,2
SHECK WES,26,UK,INTERSCOPE,MO BAMBA,2,13
CALVIN HARRIS & SAM SMITH,27,UK,COLUMBIA,PROMISES,2,21
LITTLE MIX FT NICKI MINAJ,28,UK,SYCO MUSIC,WOMAN LIKE ME,2,13
RITA ORA,29,UK,ATLANTIC,LET YOU LOVE ME,2,16
CADET & DENO DRIZ,30,UK,UNDERRATED LEGENDS,ADVICE,2,16
BENNY BLANCO/HALSEY/KHALID,31,UK,INTERSCOPE,EASTSIDE,2,26
6IX9INE FT TORY LANEZ,32,UK,TENTHOUSAND PROJECTS,KIKA,2,7
LEWIS CAPALDI,33,UK,EMI,GRACE,2,9
TOM WALKER,34,UK,RELENTLESS,LEAVE A LIGHT ON,2,41
MARSHMELLO FT BASTILLE,35,UK,POSITIVA,HAPPIER,2,21
TRAVIS SCOTT,36,UK,EPIC,SICKO MODE,2,23
ANNE-MARIE,37,UK,EAST WEST,2002,2,34
JACKMAN/SETTLE/EFRON/ZENDAYA,38,UK,ATLANTIC,THE GREATEST SHOW,2,24
RUSS,39,UK,VIRGIN,GUN LEAN,2,3
JESS GLYNNE,40,UK,ATLANTIC,I'LL BE THERE,2,29
CARDI B,41,UK,ATLANTIC,MONEY,2,8
BRING ME THE HORIZON,42,UK,RCA,MEDICINE,2,1
BENNY BLANCO & CALVIN HARRIS,43,UK,COLUMBIA/INTERSCOPE,I FOUND YOU,2,9
KHALID,44,UK,RIGHT HAND MUSIC,SATURDAY NIGHTS,2,3
PANIC AT THE DISCO,45,UK,FUELED BY RAMEN,HIGH HOPES,2,26
ZIV ZAIFMAN/JACKMAN/WILLIAMS,46,UK,ATLANTIC,A MILLION DREAMS,2,22
ELLIE GOULDING/DIPLO/SWAE LEE,47,UK,POLYDOR,CLOSE TO ME,2,11
FLIPP DINERO,48,UK,CINEMATIC,LEAVE ME ALONE,2,3
LOUD LUXURY FT BRANDO,49,UK,ARMADA,BODY,2,31
DAVE FT FREDO,50,UK,DAVE/NEIGHBOURHOOD,FUNKY FRIDAY,2,14
DUA LIPA & BLACKPINK,51,UK,WARNER BROS,KISS AND MAKE UP,2,11
ANNE-MARIE,52,UK,ASYLUM,PERFECT TO ME,2,7
MAROON 5 FT CARDI B,53,UK,INTERSCOPE,GIRLS LIKE YOU,2,32
DUA LIPA,54,UK,WARNER BROS,NEW RULES,2,64
A BOOGIE WIT DA HOODIE/6IX9INE,55,UK,ATLANTIC,SWERVIN,2,2
ED SHEERAN,56,UK,ASYLUM,PERFECT,2,86
KHALID,57,UK,RIGHT HAND MUSIC,BETTER,2,17
YXNG BANE,58,UK,DISTURBING LONDON,NEEDED TIME,2,8
JAMES ARTHUR,59,UK,COLUMBIA,EMPTY SPACE,2,12
CHARLI XCX FT TROYE SIVAN,60,UK,ATLANTIC,1999,2,13
BILLIE EILISH,61,UK,INTERSCOPE,WHEN THE PARTY'S OVER,2,11
FISHER,62,UK,CATCH & RELEASE,LOSING IT,2,2
SAM SMITH,63,UK,CAPITOL,FIRE ON FIRE,2,2
GEORGE EZRA,64,UK,COLUMBIA,PARADISE,2,43
QUEEN,65,UK,ISLAND,BOHEMIAN RHAPSODY,2,27
LEWIS CAPALDI,66,UK,EMI,SOMEONE YOU LOVED,2,2
JONAS BLUE/LIAM PAYNE/LENNON,67,UK,POSITIVA,POLAROID,2,13
TYGA FT OFFSET,68,UK,LAST KINGS MUSIC,TASTE,2,32
SIGALA/EYRE/TRAINOR FT MONTANA,69,UK,MINISTRY OF SOUND,JUST GOT PAID,2,16
1975,70,UK,DIRTY HIT/POLYDOR,IT'S NOT LIVING (IF IT'S NOT WITH YOU),2,7
DYNORO & GIGI D'AGOSTINO,71,UK,MINISTRY OF SOUND,IN MY MIND,2,22
5 SECONDS OF SUMMER,72,UK,CAPITOL,YOUNGBLOOD,2,35
DJ SNAKE/GOMEZ/CARDI B/OZUNA,73,UK,INTERSCOPE,TAKI TAKI,2,14
SILK CITY FT DUA LIPA,74,UK,COLUMBIA/WARNER BROS,ELECTRICITY,2,16
POST MALONE,75,UK,REPUBLIC RECORDS,BETTER NOW,2,33
RUDIMENTAL/GLYNNE/MACKLEMORE,76,UK,ASYLUM,THESE DAYS,2,45
ARIANA GRANDE,77,UK,REPUBLIC RECORDS,NO TEARS LEFT TO CRY,2,31
BILLIE EILISH,78,UK,INTERSCOPE,IDONTWANNABEYOUANYMORE,2,2
CATFISH & THE BOTTLEMEN,79,UK,ISLAND,LONGSHOT,2,1
FLEUR EAST,80,UK,HUNTER CORP,FAVOURITE THING,2,1
MK/JONAS BLUE/BECKY HILL,81,UK,COLUMBIA,BACK & FORTH,2,16
TOM GRENNAN,82,UK,INSANITY,FOUND WHAT I'VE BEEN LOOKING FOR,2,4
BILLIE EILISH,83,UK,INTERSCOPE,BELLYACHE,2,2
A BOOGIE WIT DA HOODIE/OFFSET,84,UK,ATLANTIC,STARTENDER,2,1
DALTON HARRIS FT JAMES ARTHUR,85,UK,SYCO MUSIC,THE POWER OF LOVE,2,6
JESS GLYNNE,86,UK,ATLANTIC,ALL I AM,2,17
DA BEATFREAKZ/AJ/DENO/CADET,87,UK,COLUMBIA,PUMPY,2,7
CLEAN BANDIT FT DEMI LOVATO,88,UK,ATLANTIC,SOLO,2,28
21 SAVAGE,89,UK,EPIC/SLAUGHTER GANG,A LOT,2,3
XXXTENTACION/PUMP/MALUMA/SWAE,90,UK,WARNER BROS,ARMS AROUND YOU,2,11
JUICE WRLD,91,UK,INTERSCOPE,LUCID DREAMS,2,29
CARDI B/BAD BUNNY/J BALVIN,92,UK,ATLANTIC,I LIKE IT,2,32
DEAN LEWIS,93,UK,ISLAND,BE ALRIGHT,2,19
YXNG BANE FT FREDO,94,UK,DISTURBING LONDON,PROBLEM,2,3
LIL BABY & GUNNA,95,UK,CAPITOL,DRIP TOO HARD,2,11
DRAKE,96,UK,CASH MONEY/REPUBLIC RECORDS,IN MY FEELINGS,2,22
A BOOGIE WIT DA HOODIE,97,UK,ATLANTIC,LOOK BACK AT IT,2,1
DAVID GUETTA/BEBE REXHA/BALVIN,98,UK,PARLOPHONE,SAY MY NAME,2,2
ED SHEERAN,99,UK,ASYLUM,SHAPE OF YOU,2,96
KILLERS,100,UK,MERCURY,MR BRIGHTSIDE,2,205
AVA MAX,1,UK,ATLANTIC,SWEET BUT PSYCHO,3,13
MARK RONSON FT MILEY CYRUS,2,UK,COLUMBIA,NOTHING BREAKS LIKE A HEART,3,7
POST MALONE,3,UK,REPUBLIC RECORDS,WOW.,3,4
SAM SMITH & NORMANI,4,UK,CAPITOL,DANCING WITH A STRANGER,3,1
POST MALONE FT SWAE LEE,5,UK,REPUBLIC RECORDS,SUNFLOWER,3,13
ARIANA GRANDE,6,UK,REPUBLIC RECORDS,THANK U NEXT,3,11
CALVIN HARRIS & RAG'N'BONE MAN,7,UK,COLUMBIA,GIANT,3,1
ARIANA GRANDE,1,UK,REPUBLIC RECORDS,BREAK UP WITH YOUR GIRLFRIEND I'M BORED,7,1
JAX JONES/YEARS & YEARS,8,UK,POLYDOR,PLAY,3,7
GESAFFELSTEIN FT WEEKND,9,UK,COLUMBIA,LOST IN THE FIRE,3,1
HALSEY,10,UK,CAPITOL,WITHOUT ME,3,15
HEADIE ONE FT DAVE,11,UK,RELENTLESS,18HUNNA,3,2
GEORGE EZRA,12,UK,COLUMBIA,HOLD MY GIRL,3,14
WESTLIFE,13,UK,EMI,HELLO MY LOVE,3,1
NSG FT TION WAYNE,14,UK,NSG,OPTIONS,3,3
JAMES ARTHUR & ANNE-MARIE,15,UK,ATLANTIC,REWRITE THE STARS,3,9
ARIANA GRANDE,2,UK,REPUBLIC RECORDS,7 RINGS,7,4
LEWIS CAPALDI,3,UK,EMI,SOMEONE YOU LOVED,7,7
SAM SMITH & NORMANI,4,UK,CAPITOL,DANCING WITH A STRANGER,7,5
FREYA RIDINGS,16,UK,GOOD SOLDIER,LOST WITHOUT YOU,3,27
ZARA LARSSON,17,UK,BLACK BUTTER/EPIC/TEN,RUIN MY LIFE,3,13
PINKFONG,18,UK,RELENTLESS,BABY SHARK,3,23
KODAK BLACK/SCOTT/OFFSET,19,UK,ATLANTIC,ZEZE,3,14
MEEK MILL FT DRAKE,20,UK,ATLANTIC,GOING BAD,3,7
CHRIS BROWN,21,UK,RCA,UNDECIDED,3,2
GEORGE EZRA,22,UK,COLUMBIA,SHOTGUN,3,43
MABEL,5,UK,POLYDOR,DON'T CALL ME UP,7,4
CALVIN HARRIS & RAG'N'BONE MAN,6,UK,COLUMBIA,GIANT,7,5
POST MALONE,7,UK,REPUBLIC RECORDS,WOW.,7,8
ARIANA GRANDE,8,UK,REPUBLIC RECORDS,NEEDY,7,1
MARK RONSON FT MILEY CYRUS,9,UK,COLUMBIA,NOTHING BREAKS LIKE A HEART,7,11
CLEAN BANDIT/MARINA/LUIS FONSI,23,UK,ATLANTIC,BABY,3,11
JESS GLYNNE,24,UK,ATLANTIC,THURSDAY,3,14
CATFISH & THE BOTTLEMEN,25,UK,ISLAND,LONGSHOT,3,2
CALVIN HARRIS & DUA LIPA,26,UK,COLUMBIA/WARNER BROS,ONE KISS,3,38
LADY GAGA & BRADLEY COOPER,27,UK,INTERSCOPE,SHALLOW,3,16
SHECK WES,28,UK,INTERSCOPE,MO BAMBA,3,14
BILLIE EILISH,10,UK,INTERSCOPE,BURY A FRIEND,7,2
AVA MAX,11,UK,ATLANTIC,SWEET BUT PSYCHO,7,17
NSG FT TION WAYNE,12,UK,NSG,OPTIONS,7,7
LEWIS CAPALDI,29,UK,EMI,SOMEONE YOU LOVED,3,3
CALVIN HARRIS & SAM SMITH,30,UK,COLUMBIA,PROMISES,3,22
SETTLE/GREATEST SHOWMAN ENS,31,UK,ATLANTIC,THIS IS ME,3,55
CADET & DENO DRIZ,32,UK,UNDERRATED LEGENDS,ADVICE,3,17
ARIANA GRANDE,33,UK,REPUBLIC RECORDS,IMAGINE,3,5
MEEK MILL FT DRAKE,13,UK,ATLANTIC,GOING BAD,7,11
JAX JONES/YEARS & YEARS,14,UK,POLYDOR,PLAY,7,11
FREYA RIDINGS,15,UK,GOOD SOLDIER,LOST WITHOUT YOU,7,31
KHALID,16,UK,RIGHT HAND MUSIC,TALK,7,1
J COLE,17,UK,INTERSCOPE,MIDDLE CHILD,7,3
AJ TRACEY,18,UK,AJ TRACEY,PSYCH OUT,7,4
RUSS,34,UK,VIRGIN,GUN LEAN,3,4
PINK,35,UK,ATLANTIC,A MILLION DREAMS,3,12
FLIPP DINERO,36,UK,CINEMATIC,LEAVE ME ALONE,3,4
TOM WALKER,37,UK,RELENTLESS,LEAVE A LIGHT ON,3,42
KHALID,38,UK,RIGHT HAND MUSIC,SATURDAY NIGHTS,3,4
WESTLIFE,19,UK,EMI,HELLO MY LOVE,7,5
RUSS,20,UK,VIRGIN,GUN LEAN,7,8
LADY GAGA & BRADLEY COOPER,21,UK,INTERSCOPE,SHALLOW,7,20
PINKFONG,22,UK,RELENTLESS,BABY SHARK,7,27
POST MALONE FT SWAE LEE,23,UK,REPUBLIC RECORDS,SUNFLOWER,7,17
DUA LIPA,24,UK,WARNER BROS,SWAN SONG,7,3
BENNY BLANCO/HALSEY/KHALID,39,UK,INTERSCOPE,EASTSIDE,3,27
LITTLE MIX FT NICKI MINAJ,40,UK,SYCO MUSIC,WOMAN LIKE ME,3,14
RITA ORA,41,UK,ATLANTIC,LET YOU LOVE ME,3,17
TRAVIS SCOTT,42,UK,EPIC,SICKO MODE,3,24
ANNE-MARIE,43,UK,EAST WEST,2002,3,35
6IX9INE FT TORY LANEZ,44,UK,TENTHOUSAND PROJECTS,KIKA,3,8
ARIANA GRANDE,1,UK,REPUBLIC RECORDS,7 RINGS,8,5
CHRIS BROWN,25,UK,RCA,UNDECIDED,7,6
LEWIS CAPALDI,26,UK,EMI,GRACE,7,14
A BOOGIE WIT DA HOODIE/6IX9INE,27,UK,ATLANTIC,SWERVIN,7,7
HALSEY,28,UK,CAPITOL,WITHOUT ME,7,19
21 SAVAGE,29,UK,EPIC/SLAUGHTER GANG,A LOT,7,8
TOM WALKER,30,UK,RELENTLESS,JUST YOU AND I,7,5
MARSHMELLO FT BASTILLE,31,UK,POSITIVA,HAPPIER,7,26
GEORGE EZRA,32,UK,COLUMBIA,SHOTGUN,7,47
MARSHMELLO FT BASTILLE,45,UK,POSITIVA,HAPPIER,3,22
JESS GLYNNE,46,UK,ATLANTIC,I'LL BE THERE,3,30
LEWIS CAPALDI,47,UK,EMI,GRACE,3,10
PANIC AT THE DISCO,48,UK,FUELED BY RAMEN,HIGH HOPES,3,27
CARDI B,49,UK,ATLANTIC,MONEY,3,9
JACKMAN/SETTLE/EFRON/ZENDAYA,50,UK,ATLANTIC,THE GREATEST SHOW,3,25
ARIANA GRANDE,2,UK,REPUBLIC RECORDS,BREAK UP WITH YOUR GIRLFRIEND I'M BORED,8,2
LEWIS CAPALDI,3,UK,EMI,SOMEONE YOU LOVED,8,8
CALVIN HARRIS & RAG'N'BONE MAN,4,UK,COLUMBIA,GIANT,8,6
MABEL,5,UK,POLYDOR,DON'T CALL ME UP,8,5
SAM SMITH & NORMANI,6,UK,CAPITOL,DANCING WITH A STRANGER,8,6
LAUV & TROYE SIVAN,33,UK,LAUV,I'M SO TIRED,7,3
CHAINSMOKERS FT 5 SECONDS OF,34,UK,DISRUPTOR,WHO DO YOU LOVE,7,1
GESAFFELSTEIN FT WEEKND,35,UK,COLUMBIA,LOST IN THE FIRE,7,5
CADET & DENO DRIZ,36,UK,UNDERRATED LEGENDS,ADVICE,7,21
BENNY BLANCO & CALVIN HARRIS,51,UK,COLUMBIA/INTERSCOPE,I FOUND YOU,3,10
A BOOGIE WIT DA HOODIE/6IX9INE,52,UK,ATLANTIC,SWERVIN,3,3
LOUD LUXURY FT BRANDO,53,UK,ARMADA,BODY,3,32
ZIV ZAIFMAN/JACKMAN/WILLIAMS,54,UK,ATLANTIC,A MILLION DREAMS,3,23
ARIANA GRANDE,1,UK,REPUBLIC RECORDS,7 RINGS,6,3
POST MALONE,7,UK,REPUBLIC RECORDS,WOW.,8,9
BILLIE EILISH,8,UK,INTERSCOPE,BURY A FRIEND,8,3
NSG FT TION WAYNE,9,UK,NSG,OPTIONS,8,8
AVA MAX,10,UK,ATLANTIC,SWEET BUT PSYCHO,8,18
ARIANA GRANDE,11,UK,REPUBLIC RECORDS,NEEDY,8,2
CARDI B & BRUNO MARS,12,UK,ATLANTIC,PLEASE ME,8,1
CAMELPHAT/CRISTOPH/JEM COOKE,37,UK,MINISTRY OF SOUND,BREATHE,7,6
KEHLANI FT TY DOLLA SIGN,38,UK,ATLANTIC,NIGHTS LIKE THIS,7,5
DAVE FT FREDO,55,UK,DAVE/NEIGHBOURHOOD,FUNKY FRIDAY,3,15
ANNE-MARIE,56,UK,ASYLUM,PERFECT TO ME,3,8
ELLIE GOULDING/DIPLO/SWAE LEE,57,UK,POLYDOR,CLOSE TO ME,3,12
MAROON 5 FT CARDI B,58,UK,INTERSCOPE,GIRLS LIKE YOU,3,33
YXNG BANE,59,UK,DISTURBING LONDON,NEEDED TIME,3,9
FISHER,60,UK,CATCH & RELEASE,LOSING IT,3,3
AVA MAX,2,UK,ATLANTIC,SWEET BUT PSYCHO,6,16
SAM SMITH & NORMANI,3,UK,CAPITOL,DANCING WITH A STRANGER,6,4
CALVIN HARRIS & RAG'N'BONE MAN,4,UK,COLUMBIA,GIANT,6,4
MABEL,5,UK,POLYDOR,DON'T CALL ME UP,6,3
MEEK MILL FT DRAKE,13,UK,ATLANTIC,GOING BAD,8,12
CADET & DENO DRIZ,14,UK,UNDERRATED LEGENDS,ADVICE,8,22
JAX JONES/YEARS & YEARS,15,UK,POLYDOR,PLAY,8,12
D-BLOCK EUROPE,16,UK,D-BLOCK EUROPE,KITCHEN KINGS,8,2
MARK RONSON FT MILEY CYRUS,17,UK,COLUMBIA,NOTHING BREAKS LIKE A HEART,8,12
FREYA RIDINGS,18,UK,GOOD SOLDIER,LOST WITHOUT YOU,8,32
JESS GLYNNE,39,UK,ATLANTIC,THURSDAY,7,18
BLUEFACE,40,UK,entertainment one,THOTIANA,7,2
FLIPP DINERO,41,UK,CINEMATIC,LEAVE ME ALONE,7,8
ED SHEERAN,61,UK,ASYLUM,PERFECT,3,87
KEHLANI FT TY DOLLA SIGN,62,UK,ATLANTIC,NIGHTS LIKE THIS,3,1
DUA LIPA,63,UK,WARNER BROS,NEW RULES,3,65
KHALID,64,UK,RIGHT HAND MUSIC,BETTER,3,18
DUA LIPA & BLACKPINK,65,UK,WARNER BROS,KISS AND MAKE UP,3,12
SAM SMITH,66,UK,CAPITOL,FIRE ON FIRE,3,3
TYGA FT OFFSET,67,UK,LAST KINGS MUSIC,TASTE,3,33
POST MALONE,6,UK,REPUBLIC RECORDS,WOW.,6,7
BILLIE EILISH,7,UK,INTERSCOPE,BURY A FRIEND,6,1
MARK RONSON FT MILEY CYRUS,8,UK,COLUMBIA,NOTHING BREAKS LIKE A HEART,6,10
LEWIS CAPALDI,9,UK,EMI,SOMEONE YOU LOVED,6,6
TOM WALKER,19,UK,RELENTLESS,JUST YOU AND I,8,6
KHALID,20,UK,RIGHT HAND MUSIC,TALK,8,2
KHALID,42,UK,RIGHT HAND MUSIC,SATURDAY NIGHTS,7,8
PANIC AT THE DISCO,43,UK,FUELED BY RAMEN,HIGH HOPES,7,31
HEADIE ONE FT DAVE,44,UK,RELENTLESS,18HUNNA,7,6
ANNE-MARIE,45,UK,EAST WEST,2002,7,39
AJ TRACEY,46,UK,AJ TRACEY,WIFEY RIDDIM 3,7,1
QUEEN,68,UK,ISLAND,BOHEMIAN RHAPSODY,3,28
BRING ME THE HORIZON,69,UK,RCA,MEDICINE,3,2
GEORGE EZRA,70,UK,COLUMBIA,PARADISE,3,44
BILLIE EILISH,71,UK,INTERSCOPE,WHEN THE PARTY'S OVER,3,12
POST MALONE FT SWAE LEE,10,UK,REPUBLIC RECORDS,SUNFLOWER,6,16
NSG FT TION WAYNE,11,UK,NSG,OPTIONS,6,6
JAX JONES/YEARS & YEARS,12,UK,POLYDOR,PLAY,6,10
FREYA RIDINGS,13,UK,GOOD SOLDIER,LOST WITHOUT YOU,6,30
J COLE,14,UK,INTERSCOPE,MIDDLE CHILD,6,2
FREDO FT DAVE,15,UK,SINCE 93,ALL I EVER WANTED,6,1
LADY GAGA & BRADLEY COOPER,21,UK,INTERSCOPE,SHALLOW,8,21
LAUV & TROYE SIVAN,22,UK,LAUV,I'M SO TIRED,8,4
BLUEFACE,23,UK,entertainment one,THOTIANA,8,3
FREDO FT DAVE,47,UK,SINCE 93,ALL I EVER WANTED,7,2
AJ TRACEY,48,UK,AJ TRACEY,LADBROKE GROVE,7,1
LITTLE MIX FT TY DOLLA SIGN,49,UK,SYCO MUSIC,THINK ABOUT US,7,3
CALVIN HARRIS & SAM SMITH,50,UK,COLUMBIA,PROMISES,7,26
JAMES ARTHUR,72,UK,COLUMBIA,EMPTY SPACE,3,13
SIGALA/EYRE/TRAINOR FT MONTANA,73,UK,MINISTRY OF SOUND,JUST GOT PAID,3,17
DYNORO & GIGI D'AGOSTINO,74,UK,MINISTRY OF SOUND,IN MY MIND,3,23
CHARLI XCX FT TROYE SIVAN,75,UK,ATLANTIC,1999,3,14
POST MALONE,76,UK,REPUBLIC RECORDS,BETTER NOW,3,34
RUSS,16,UK,VIRGIN,GUN LEAN,6,7
HALSEY,17,UK,CAPITOL,WITHOUT ME,6,18
MEEK MILL FT DRAKE,18,UK,ATLANTIC,GOING BAD,6,10
WESTLIFE,24,UK,EMI,HELLO MY LOVE,8,6
PINKFONG,25,UK,RELENTLESS,BABY SHARK,8,28
LITTLE MIX FT TY DOLLA SIGN,26,UK,SYCO MUSIC,THINK ABOUT US,8,4
GEORGE EZRA,27,UK,COLUMBIA,SHOTGUN,8,48
J COLE,28,UK,INTERSCOPE,MIDDLE CHILD,8,4
POST MALONE FT SWAE LEE,29,UK,REPUBLIC RECORDS,SUNFLOWER,8,18
SUB FOCUS & DIMENSION,51,UK,EMI,DESIRE,7,5
YXNG BANE,52,UK,DISTURBING LONDON,NEEDED TIME,7,13
SWARMZ FT TION WAYNE,53,UK,BLACK BUTTER,BALLY,7,4
JONAS BLUE/LIAM PAYNE/LENNON,77,UK,POSITIVA,POLAROID,3,14
CAMELPHAT/CRISTOPH/JEM COOKE,78,UK,MINISTRY OF SOUND,BREATHE,3,2
SILK CITY FT DUA LIPA,79,UK,COLUMBIA/WARNER BROS,ELECTRICITY,3,17
A BOOGIE WIT DA HOODIE,80,UK,ATLANTIC,LOOK BACK AT IT,3,2
RUDIMENTAL/GLYNNE/MACKLEMORE,81,UK,ASYLUM,THESE DAYS,3,46
1975,82,UK,DIRTY HIT/POLYDOR,IT'S NOT LIVING (IF IT'S NOT WITH YOU),3,8
5 SECONDS OF SUMMER,83,UK,CAPITOL,YOUNGBLOOD,3,36
MK/JONAS BLUE/BECKY HILL,84,UK,COLUMBIA,BACK & FORTH,3,17
PINKFONG,19,UK,RELENTLESS,BABY SHARK,6,26
CHRIS BROWN,20,UK,RCA,UNDECIDED,6,5
KODAK BLACK/SCOTT/OFFSET,21,UK,ATLANTIC,ZEZE,6,17
LEWIS CAPALDI,30,UK,EMI,GRACE,8,15
A BOOGIE WIT DA HOODIE/6IX9INE,31,UK,ATLANTIC,SWERVIN,8,8
DUA LIPA,32,UK,WARNER BROS,SWAN SONG,8,4
A BOOGIE WIT DA HOODIE,54,UK,ATLANTIC,LOOK BACK AT IT,7,6
BENNY BLANCO/HALSEY/KHALID,55,UK,INTERSCOPE,EASTSIDE,7,31
TRAVIS SCOTT,56,UK,EPIC,SICKO MODE,7,28
DA BEATFREAKZ/AJ/DENO/CADET,85,UK,COLUMBIA,PUMPY,3,8
ARIANA GRANDE,86,UK,REPUBLIC RECORDS,NO TEARS LEFT TO CRY,3,32
BILLIE EILISH,87,UK,INTERSCOPE,IDONTWANNABEYOUANYMORE,3,3
WESTLIFE,22,UK,EMI,HELLO MY LOVE,6,4
GEORGE EZRA,23,UK,COLUMBIA,HOLD MY GIRL,6,17
GESAFFELSTEIN FT WEEKND,24,UK,COLUMBIA,LOST IN THE FIRE,6,4
RUSS,33,UK,VIRGIN,GUN LEAN,8,9
AJ TRACEY,34,UK,AJ TRACEY,PSYCH OUT,8,5
CHRIS BROWN,35,UK,RCA,UNDECIDED,8,7
MARSHMELLO FT BASTILLE,36,UK,POSITIVA,HAPPIER,8,27
LEWIS CAPALDI,1,UK,EMI,SOMEONE YOU LOVED,9,9
YUNGEN FT DAPPY,57,UK,RCA,COMFORTABLE,7,3
SETTLE/GREATEST SHOWMAN ENS,58,UK,ATLANTIC,THIS IS ME,7,59
CATFISH & THE BOTTLEMEN,59,UK,ISLAND,LONGSHOT,7,6
RITA ORA,60,UK,ATLANTIC,LET YOU LOVE ME,7,21
MARSHMELLO,61,UK,MONSTERCAT,ALONE,7,2
GEORGE EZRA,62,UK,COLUMBIA,HOLD MY GIRL,7,18
DJ SNAKE/GOMEZ/CARDI B/OZUNA,88,UK,INTERSCOPE,TAKI TAKI,3,15
BILLIE EILISH,89,UK,INTERSCOPE,BELLYACHE,3,3
A BOOGIE WIT DA HOODIE/OFFSET,90,UK,ATLANTIC,STARTENDER,3,2
LIL BABY & GUNNA,91,UK,CAPITOL,DRIP TOO HARD,3,12
DUA LIPA,25,UK,WARNER BROS,SWAN SONG,6,2
LADY GAGA & BRADLEY COOPER,26,UK,INTERSCOPE,SHALLOW,6,19
ELLIE GOULDING/DIPLO/SWAE LEE,27,UK,POLYDOR,CLOSE TO ME,6,15
ARIANA GRANDE,28,UK,REPUBLIC RECORDS,THANK U NEXT,6,14
MARSHMELLO FT BASTILLE,29,UK,POSITIVA,HAPPIER,6,25
ZEDD FT KATY PERRY,37,UK,POLYDOR,365,8,1
CAMELPHAT/CRISTOPH/JEM COOKE,38,UK,MINISTRY OF SOUND,BREATHE,8,7
HALSEY,39,UK,CAPITOL,WITHOUT ME,8,20
21 SAVAGE,40,UK,EPIC/SLAUGHTER GANG,A LOT,8,9
CALVIN HARRIS & RAG'N'BONE MAN,2,UK,COLUMBIA,GIANT,9,7
ARIANA GRANDE,3,UK,REPUBLIC RECORDS,BREAK UP WITH YOUR GIRLFRIEND I'M BORED,9,3
ARIANA GRANDE,4,UK,REPUBLIC RECORDS,7 RINGS,9,6
MABEL,5,UK,POLYDOR,DON'T CALL ME UP,9,6
SAM SMITH & NORMANI,6,UK,CAPITOL,DANCING WITH A STRANGER,9,7
ALEC BENJAMIN,63,UK,ATLANTIC,LET ME DOWN SLOWLY,7,3
LOUD LUXURY FT BRANDO,64,UK,ARMADA,BODY,7,36
ED SHEERAN,65,UK,ASYLUM,PERFECT,7,91
LIZZO,66,UK,ATLANTIC,JUICE,7,1
D-BLOCK EUROPE,67,UK,D-BLOCK EUROPE,KITCHEN KINGS,7,1
KODAK BLACK/SCOTT/OFFSET,68,UK,ATLANTIC,ZEZE,7,18
JAMES ARTHUR & ANNE-MARIE,69,UK,ATLANTIC,REWRITE THE STARS,7,13
JACK SAVORETTI,70,UK,BMG,CANDLELIGHT,7,1
21 SAVAGE,92,UK,EPIC/SLAUGHTER GANG,A LOT,3,4
SUB FOCUS & DIMENSION,93,UK,EMI,DESIRE,3,1
DEAN LEWIS,94,UK,ISLAND,BE ALRIGHT,3,20
CLEAN BANDIT FT DEMI LOVATO,95,UK,ATLANTIC,SOLO,3,29
JESS GLYNNE,96,UK,ATLANTIC,ALL I AM,3,18
LEWIS CAPALDI,1,UK,EMI,SOMEONE YOU LOVED,10,10
