artist,chart_position,country,production_house,title,week,weeks_on_chart
STEEL BANGLEZ/TRACEY/MOSTACK,33,UK,GIFTED MUSIC/WARNER BROS,FASHION WEEK,23,11
CHAINSMOKERS FT 5 SECONDS OF,36,UK,DISRUPTOR,WHO DO YOU LOVE,16,10
GEORGE EZRA,37,UK,COLUMBIA,SHOTGUN,16,56
YNW MELLY,38,UK,300 ENTERTAINMENT,MURDER ON MY MIND,16,9
ARIANA GRANDE,39,UK,REPUBLIC RECORDS,BREAK UP WITH YOUR GIRLFRIEND I'M BORED,16,10
POST MALONE FT SWAE LEE,40,UK,REPUBLIC RECORDS,SUNFLOWER,16,26
ARIANA GRANDE,46,UK,REPUBLIC RECORDS,7 RINGS,17,14
ZARA LARSSON,47,UK,BLACK BUTTER/EPIC/TEN,DON'T WORRY BOUT ME,17,4
LITTLE MIX FT TY DOLLA SIGN,48,UK,SYCO MUSIC,THINK ABOUT US,17,13
SZA/WEEKND/TRAVIS SCOTT,49,UK,RCA,POWER IS POWER,17,1
DENNIS LLOYD,84,UK,WM ITALY,NEVERMIND,13,29
DADDY YANKEE FT SNOW,85,UK,INTERSCOPE,CON CALMA,13,2
RV & HEADIE ONE,86,UK,RELENTLESS,MATCH DAY,13,1
JONAS BLUE FT THERESA REX,87,UK,POSITIVA,WHAT I LIKE ABOUT YOU,13,1
JESS GLYNNE,88,UK,EAST WEST,NO ONE,13,2
TYGA FT OFFSET,97,UK,LAST KINGS MUSIC,TASTE,12,42
ANNE-MARIE,98,UK,EAST WEST,2002,12,44
JACKMAN/SETTLE/EFRON/ZENDAYA,99,UK,ATLANTIC,THE GREATEST SHOW,12,34
YNW MELLY FT KAYNE WEST,100,UK,300 ENTERTAINMENT,MIXED PERSONALITIES,12,1
ED SHEERAN & JUSTIN BIEBER,1,UK,ASYLUM/DEF JAM,I DON'T CARE,21,2
LIL NAS X,2,UK,LIL NAS X,OLD TOWN ROAD,19,7
LEWIS CAPALDI,3,UK,EMI,SOMEONE YOU LOVED,19,19
LEWIS CAPALDI,4,UK,EMI,HOLD ME WHILE YOU WAIT,19,1
BILLIE EILISH,5,UK,INTERSCOPE,BAD GUY,19,6
MEDUZA FT GOODBOYS,6,UK,POLYDOR,PIECE OF YOUR HEART,19,8
TAYLOR SWIFT FT BRENDON URIE,7,UK,EMI,ME,19,2
AVICII FT ALOE BLACC,8,UK,Positiva,SOS,19,4
TOM WALKER,14,UK,RELENTLESS,JUST YOU AND I,20,18
MARSHMELLO FT CHVRCHES,15,UK,JOYTIME/POSITIVA,HERE WITH ME,20,10
JONAS BROTHERS,16,UK,HOLLYWOOD,SUCKER,20,11
WILEY/STEFFLON DON/SEAN PAUL,17,UK,BMG,BOASTY,20,13
AVA MAX,18,UK,ATLANTIC,SO AM I,20,10
JONAS BLUE FT THERESA REX,19,UK,POSITIVA,WHAT I LIKE ABOUT YOU,20,8
AVICII FT ALOE BLACC,8,UK,Positiva,SOS,22,7
ED SHEERAN/CHANCE/PNB ROCK,9,UK,ASYLUM,CROSS ME,22,1
SHAWN MENDES,10,UK,EMI,IF I CAN'T HAVE YOU,22,4
JAX JONES/MARTIN SOLVEIG/BEER,11,UK,POLYDOR,ALL DAY AND NIGHT,22,9
DAVE FT BURNA BOY,12,UK,DAVE NEIGHBOURHOOD,LOCATION,22,12
PINK,16,UK,RCA,WALK ME HOME,18,10
AVA MAX,17,UK,ATLANTIC,SO AM I,18,8
RSPB,18,UK,THE RSPB,LET NATURE SING,18,1
STEEL BANGLEZ/TRACEY/MOSTACK,19,UK,GIFTED MUSIC/WARNER BROS,FASHION WEEK,18,6
5 SECONDS OF SUMMER,34,UK,POLYDOR,EASIER,23,2
AVA MAX,35,UK,ATLANTIC,SO AM I,23,13
MARK RONSON FT LYKKE LI,36,UK,COLUMBIA,LATE NIGHT FEELINGS,23,8
TYLER THE CREATOR,37,UK,COLUMBIA,EARFQUAKE,23,3
DOMINIC FIKE,38,UK,COLUMBIA,3 NIGHTS,23,5
CARDI B & BRUNO MARS,41,UK,ATLANTIC,PLEASE ME,16,9
ARIANA GRANDE,42,UK,REPUBLIC RECORDS,7 RINGS,16,13
JONAS BLUE FT THERESA REX,43,UK,POSITIVA,WHAT I LIKE ABOUT YOU,16,4
LITTLE MIX FT TY DOLLA SIGN,44,UK,SYCO MUSIC,THINK ABOUT US,16,12
DENNIS LLOYD,50,UK,WM ITALY,NEVERMIND,17,33
NSG FT TION WAYNE,51,UK,NSG,OPTIONS,17,17
MARTIN JENSEN & JAMES ARTHUR,52,UK,DISCOWAX,NOBODY,17,8
LEWIS CAPALDI,53,UK,EMI,BRUISES,17,12
HARDY CAPRIO,89,UK,VIRGIN,SPONSORED,13,2
HOZIER,90,UK,ISLAND,ALMOST (SWEET MUSIC),13,4
NAV FT WEEKND,91,UK,REPUBLIC RECORDS/XO,PRICE ON MY HEAD,13,1
SAM FENDER,92,UK,SAM FENDER,PLAY GOD,13,5
JAX JONES/YEARS & YEARS,93,UK,POLYDOR,PLAY,13,17
LIL NAS X,2,UK,LIL NAS X,OLD TOWN ROAD,21,9
LEWIS CAPALDI,3,UK,EMI,SOMEONE YOU LOVED,21,21
STORMZY,4,UK,MERKY,VOSSI BOP,21,4
LEWIS CAPALDI,5,UK,EMI,HOLD ME WHILE YOU WAIT,21,3
ED SHEERAN & JUSTIN BIEBER,1,UK,ASYLUM/DEF JAM,I DON'T CARE,25,6
SHAWN MENDES,9,UK,EMI,IF I CAN'T HAVE YOU,19,1
TOM WALKER,10,UK,RELENTLESS,JUST YOU AND I,19,17
RUSS & TION WAYNE,11,UK,VIRGIN,KEISHA & BECKY,19,7
DAVE FT BURNA BOY,12,UK,DAVE NEIGHBOURHOOD,LOCATION,19,9
JAX JONES/MARTIN SOLVEIG/BEER,13,UK,POLYDOR,ALL DAY AND NIGHT,19,6
MARSHMELLO FT CHVRCHES,14,UK,JOYTIME/POSITIVA,HERE WITH ME,19,9
LOGIC FT EMINEM,15,UK,DEF JAM,HOMICIDE,19,1
JONAS BROTHERS,16,UK,HOLLYWOOD,SUCKER,19,10
WILEY/STEFFLON DON/SEAN PAUL,17,UK,BMG,BOASTY,19,12
HARDY CAPRIO & DIGDAT,18,UK,VIRGIN,GUTEN TAG,19,1
AVA MAX,19,UK,ATLANTIC,SO AM I,19,9
KHALID,20,UK,RIGHT HAND MUSIC,TALK,20,14
HARDY CAPRIO & DIGDAT,21,UK,VIRGIN,GUTEN TAG,20,2
SKEPTA & NAFE SMALLZ,22,UK,BOY BETTER KNOW,GREAZE MODE,20,1
STEEL BANGLEZ/TRACEY/MOSTACK,23,UK,GIFTED MUSIC/WARNER BROS,FASHION WEEK,20,8
PINK,24,UK,RCA,WALK ME HOME,20,12
ELLIE GOULDING,25,UK,POLYDOR,SIXTEEN,20,5
LOGIC FT EMINEM,26,UK,DEF JAM,HOMICIDE,20,2
KYGO & RITA ORA,27,UK,COLUMBIA,CARRY ON,20,4
LEWIS CAPALDI,28,UK,EMI,GRACE,20,27
CALVIN HARRIS & RAG'N'BONE MAN,29,UK,COLUMBIA,GIANT,20,18
SIGRID,30,UK,ISLAND,DON'T FEEL LIKE CRYING,20,14
TAYLOR SWIFT FT BRENDON URIE,13,UK,EMI,ME,22,5
LEWIS CAPALDI,14,UK,EMI,GRACE,22,29
RUSS & TION WAYNE,15,UK,VIRGIN,KEISHA & BECKY,22,10
MARSHMELLO FT CHVRCHES,16,UK,JOYTIME/POSITIVA,HERE WITH ME,22,12
NSG,17,UK,NSG,OT BOP,22,1
DIGGA D,20,UK,CGM,NO DIET,18,2
LIL DICKY,21,UK,CMSN,EARTH,18,2
CALVIN HARRIS & RAG'N'BONE MAN,39,UK,COLUMBIA,GIANT,23,21
MARTIN GARRIX/MACKLEMORE/STUMP,40,UK,COLUMBIA,SUMMER DAYS,23,5
