artist,chart_position,count,country,production_house,title
"
                                                        ,
                                                    ,
                                                            Slatkaristika
                                                        ,
                                                            2Bona
                                                        ,
                                                    Dijamanti
                                                ",1,,,,"
                                                            Slatkaristika
                                                        ,
                                                            2Bona
                                                        "
"
                                                        ,
                                                    ,
                                                            Next Time
                                                        ,
                                                    Nesto Ke Te Pitam Babo
                                                ",2,,,,"
                                                            Next Time
                                                        "
"
                                                        ,
                                                    ,
                                                            Vlatko Lozanoski
                                                        ,
                                                    Kilometri
                                                ",3,,,,"
                                                            Vlatko Lozanoski
                                                        "
"
                                                        ,
                                                    ,
                                                            Alen Hasanovic
                                                        ,
                                                            Belma Karsic
                                                        ,
                                                    Ko Sam Ja Tebi Sad
                                                ",4,,,,"
                                                            Alen Hasanovic
                                                        ,
                                                            Belma Karsic
                                                        "
"
                                                        ,
                                                    ,
                                                            Vlatko Lozanoski
                                                        ,
                                                    Jako Jako
                                                ",5,,,,"
                                                            Vlatko Lozanoski
                                                        "
"
                                                        ,
                                                    ,
                                                            Illmill
                                                        ,
                                                    Off Records
                                                ",6,,,,"
                                                            Illmill
                                                        "
"
                                                        ,
                                                    ,
                                                            S4Mm
                                                        ,
                                                    Dashuri
                                                ",7,,,,"
                                                            S4Mm
                                                        "
"
                                                        ,
                                                    ,
                                                            Vlatko Lozanoski
                                                        ,
                                                    Majko
                                                ",8,,,,"
                                                            Vlatko Lozanoski
                                                        "
"
                                                        ,
                                                    ,
                                                            Adem Ramadani
                                                        ,
                                                    Amaneti I Gurbetçarit
                                                ",9,,,,"
                                                            Adem Ramadani
                                                        "
"
                                                        ,
                                                    ,
                                                            Noizy
                                                        ,
                                                            S4Mm
                                                        ,
                                                    La Familia
                                                ",10,,,,"
                                                            Noizy
                                                        ,
                                                            S4Mm
                                                        "
"
                                                        ,
                                                    ,
                                                            S4Mm
                                                        ,
                                                    Per Veti
                                                ",11,,,,"
                                                            S4Mm
                                                        "
"
                                                        ,
                                                    ,
                                                            S4Mm
                                                        ,
                                                    1 Gur, 2 Plluma
                                                ",12,,,,"
                                                            S4Mm
                                                        "
"
                                                        ,
                                                    ,
                                                            Nusret Kurtishi
                                                        ,
                                                    Larg Vatanit
                                                ",13,,,,"
                                                            Nusret Kurtishi
                                                        "
"
                                                        ,
                                                    ,
                                                            Vlatko Lozanoski
                                                        ,
                                                    Nadez
                                                ",14,,,,"
                                                            Vlatko Lozanoski
                                                        "
"
                                                        ,
                                                    ,
                                                            Nusret Kurtishi
                                                        ,
                                                    Me Shum Pune E Me Pak Fjale
                                                ",15,,,,"
                                                            Nusret Kurtishi
                                                        "
"
                                                        ,
                                                    ,
                                                            S4Mm
                                                        ,
                                                    Janari
                                                ",16,,,,"
                                                            S4Mm
                                                        "
"
                                                        ,
                                                    ,
                                                            Next Time
                                                        ,
                                                    Slusam Kaj Sumat Sumite
                                                ",17,,,,"
                                                            Next Time
                                                        "
"
                                                        ,
                                                    ,
                                                            Riste Risteski
                                                        ,
                                                    Neizlečivo
                                                ",18,,,,"
                                                            Riste Risteski
                                                        "
"
                                                        ,
                                                    ,
                                                            Vlatko Lozanoski
                                                        ,
                                                    Ova Leto Ke Se Pamti
                                                ",19,,,,"
                                                            Vlatko Lozanoski
                                                        "
"
                                                        ,
                                                    ,
                                                            Nusret Kurtishi
                                                        ,
                                                    Sahere
                                                ",20,,,,"
                                                            Nusret Kurtishi
                                                        "
"
                                                        ,
                                                    ,
                                                            Shkumbin Ismaili
                                                        ,
                                                    Kjo Zemër Nuk Është Gur
